"relative_path","extension","status","bad_present","good_present","bad_size_bytes","good_size_bytes","bad_sha256","good_sha256"
"cli/System.IO.Packaging.dll","dll","missing_from_codex","false","true","","122480","","48a06edf59fffae89e18874d25758f483d34ca0db9ad0dcf74f86391aa89756c"
"cli/Win7POS.Cli.deps.json","json","missing_from_codex","false","true","","17134","","714e8e4b904b677fae39c0f27efdd406a8fa9244b28a00e2a1b057c360b0928e"
"cli/Win7POS.Cli.dll","dll","missing_from_codex","false","true","","66560","","775b496665263aa0a29f835855ae8c59039fe4f74d46193798bbd1e362dc521c"
"cli/Win7POS.Cli.exe","exe","missing_from_codex","false","true","","162304","","25be4cec5f654134918e768b238be88f17ce7c846e8665b330657dc7ed9826cb"
"cli/Win7POS.Cli.pdb","pdb","missing_from_codex","false","true","","24056","","0204f5a4f7c72a58a17bb2956ebb5edcaf8bf75c9a085eeee4791140ebe83780"
"cli/Win7POS.Cli.runtimeconfig.json","json","missing_from_codex","false","true","","342","","c230a317a54dd960bcbeb5f347f52e18dc665a26f7efda2159fced9a5ac7e097"
"cli/Win7POS.Core.dll","dll","missing_from_codex","false","true","","94720","","11e59b9160b99f13ca550cf0052ca17d17455f1609e622c69bd07d68443abb7d"
"cli/Win7POS.Core.pdb","pdb","missing_from_codex","false","true","","41744","","e2d07d4e2035dc3319f192555732617da8ea8fc3d8d54172af34ac3d191688fd"
"cli/Win7POS.Data.dll","dll","missing_from_codex","false","true","","257024","","c555e5a64f0f0138dd9fb029df58e98b2666baeca6a6f641fa7203f13caf04af"
"cli/Win7POS.Data.pdb","pdb","missing_from_codex","false","true","","46412","","4e201b07ceb899596886adeda873dcf59fd4bbd1ea5110514ecfee17a3e4758d"
"cli/XLParser.dll","dll","missing_from_codex","false","true","","54784","","a1211fe42e65b2c51f283c6588a298989e50b988ccc82a504a9b2a7f46c54b9c"
"cli/runtimes/android-arm/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1213068","","1b74b20791081922fd00e001385815da007597709607eda9488322ff60996ee4"
"cli/runtimes/android-arm64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1728080","","8570990253a2143b4792af64314402a9b419c9366b69ba2ab5a668416ea4bad4"
"cli/runtimes/android-x64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1760040","","01b7c8739b22eb4b41e58cbe83b0f5f71a3fb1d9d4159ad1565d0db27a539520"
"cli/runtimes/android-x86/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1771220","","f4b2193c775e8c103e200710087266a9dc24f928bd73842acdd5f10b66ffb9a0"
"cli/runtimes/browser-wasm/nativeassets/net9.0/e_sqlite3.a","a","missing_from_codex","false","true","","1273274","","8ff5ac13b3f3e8e7efffded270b426dee52859c027c998a8091db9a6a8b2094d"
"cli/runtimes/ios-arm/native/e_sqlite3.a","a","missing_from_codex","false","true","","5465392","","ddbfe22e2745f53f6d6e5e165cd6e634c4377592ea730450a952f5615d901281"
"cli/runtimes/ios-arm64/native/e_sqlite3.a","a","missing_from_codex","false","true","","5465392","","ddbfe22e2745f53f6d6e5e165cd6e634c4377592ea730450a952f5615d901281"
"cli/runtimes/iossimulator-arm64/native/e_sqlite3.a","a","missing_from_codex","false","true","","6374080","","2d7cd6cbdf69c314fb52fcb935d462290ac9278ae2cc9a445cd014dc3f3e4cbb"
"cli/runtimes/iossimulator-x64/native/e_sqlite3.a","a","missing_from_codex","false","true","","6374080","","2d7cd6cbdf69c314fb52fcb935d462290ac9278ae2cc9a445cd014dc3f3e4cbb"
"cli/runtimes/iossimulator-x86/native/e_sqlite3.a","a","missing_from_codex","false","true","","6374080","","2d7cd6cbdf69c314fb52fcb935d462290ac9278ae2cc9a445cd014dc3f3e4cbb"
"cli/runtimes/linux-arm/native/libe_sqlite3.so","so","missing_from_codex","false","true","","952800","","2d854f448fb938223535a57e721d3340139d38211f79d8a382f0fbe7b10143bc"
"cli/runtimes/linux-arm64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1530608","","1e3d72f01195cd8fc1e9f17a7d1e9a8fa589b390c08f81b4d3a7af721effe0eb"
"cli/runtimes/linux-armel/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1337732","","3f03680395719e579d6057d5c1a6b983ed3aee104ca66cf008f4ac293120d4e6"
"cli/runtimes/linux-mips64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1750688","","efb1664a6d8c6f0317bf0befb30717073b6b61e1ac5c9c902df77e1561c64eab"
"cli/runtimes/linux-musl-arm/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1285764","","12dc07f3d53f941048e34c6b89a85111b920078d88609196ce3205c20183f14a"
"cli/runtimes/linux-musl-arm64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1414272","","d881b6b8a258f5e3fe1419b46366fc1afd90e941818d30aa2d2cec650449fed0"
"cli/runtimes/linux-musl-riscv64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","995824","","c2c1068ebd1f84c6e4a2836d9a8bb2f560ca02fdb14bcd5128c5e8f99747156b"
"cli/runtimes/linux-musl-s390x/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1645144","","1672540e0af343d62f5c9a8e1b66df267833a25de520552243dfd0f0a410914b"
"cli/runtimes/linux-musl-x64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1404920","","73b683c168b3cdc68f1fd005645da7fdedf17895378c2b41903172e296a990c2"
"cli/runtimes/linux-ppc64le/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1868144","","11439415dedc32206271497acb9eb5d471ad4ed4d49a673736a9f86e74bae2c9"
"cli/runtimes/linux-riscv64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1263704","","88f772c63a08ea586020d40bb02e443ad7cf39e213d02fbb853646534307d0aa"
"cli/runtimes/linux-s390x/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1611168","","f1d66857efe72dce75c280b1c3a60fbaf365d2445b40622056b0da93cf8cf58a"
"cli/runtimes/linux-x64/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1434496","","a5e8aed525023e6c209d37d3e762e2e76ed3a830464569a419abfc3cf12d7a6c"
"cli/runtimes/linux-x86/native/libe_sqlite3.so","so","missing_from_codex","false","true","","1507844","","2bfc22ddf99e8e0d0aa8bb20818b99f164935547b1940d8700e3d1d3398a16a4"
"cli/runtimes/maccatalyst-arm64/native/libe_sqlite3.dylib","dylib","missing_from_codex","false","true","","1676400","","5f7258e3d9ef0d863a223a0ece5dd7aa71903fe26a7b5f7f77a1b94c6eae8c4f"
"cli/runtimes/maccatalyst-x64/native/libe_sqlite3.dylib","dylib","missing_from_codex","false","true","","1713688","","292d34ba0fee9cc57fbc51866c9ef076cadee22cfb073e7e10695c5a9b4663d6"
"cli/runtimes/osx-arm64/native/libe_sqlite3.dylib","dylib","missing_from_codex","false","true","","1661200","","7b319cd32435ab28c97041fad74b892be218e6f0f74790802105309c1ec515a9"
"cli/runtimes/osx-x64/native/libe_sqlite3.dylib","dylib","missing_from_codex","false","true","","1680992","","68cbf7a2b78587bcfde9ec55f56a2d0f061260209daafd41bb3ac6f2650dfeae"
"cli/runtimes/win-arm64/native/e_sqlite3.dll","dll","missing_from_codex","false","true","","1695232","","fce6a7691b272c4ff0663e3575a3d35019c638ebea15493a1155291dd71fd4c8"
"cli/runtimes/win-x64/native/e_sqlite3.dll","dll","missing_from_codex","false","true","","1910784","","aae45df6d47b9cadfc17938763079dcd89f575af73ca4168bc5d58ee63b400ad"
"cli/runtimes/win-x86/native/e_sqlite3.dll","dll","missing_from_codex","false","true","","1502720","","5ea34b0e209d5115b19ff56bc456ec9f9fa8b05ee373387b1f620d30c11bf1b2"
"de/PdfSharp-gdi.resources.dll","dll","same","true","true","5120","5120","53035c6ebf8d030b9fef50af9dac4571f8714139f167135fe178f4f3b8b9d1cb","53035c6ebf8d030b9fef50af9dac4571f8714139f167135fe178f4f3b8b9d1cb"
"de/PdfSharp.Charting-gdi.resources.dll","dll","same","true","true","4608","4608","38d3e61a295d20950800f607264760de1266bbf438dd5e94e0a0883116eaff36","38d3e61a295d20950800f607264760de1266bbf438dd5e94e0a0883116eaff36"
"e_sqlite3.dll","dll","missing_from_codex","false","true","","1502720","","5ea34b0e209d5115b19ff56bc456ec9f9fa8b05ee373387b1f620d30c11bf1b2"
"zxing.dll","dll","same","true","true","531968","531968","52f00a43f9574a411009899a6236f3efb5b597fbae0f3163dfec9cbb0c1f4d38","52f00a43f9574a411009899a6236f3efb5b597fbae0f3163dfec9cbb0c1f4d38"
"zxing.presentation.dll","dll","same","true","true","19968","19968","87c4a489fff4924e798ee360064cab52011238b4ee8642fdd8e102db4615752c","87c4a489fff4924e798ee360064cab52011238b4ee8642fdd8e102db4615752c"
